Year,co2_em
1960,3641.331
1961,3777.01
1962,3080.28
1963,3960.36
1964,4422.402
1965,4261.054
1966,5467.497
1967,5416.159
1968,5628.845
1969,5826.863
1970,7293.663
1971,8203.079
1972,8049.065
1973,9640.543
1974,11136.679
1975,11111.01
1976,11547.383
1977,12702.488
1978,13076.522
1979,15958.784
1980,15944.116
1981,15856.108
1982,17058.884
1983,17795.951
1984,17814.286
1985,17865.624
1986,18881.383
1987,20117.162
1988,21176.925
1989,22918.75
1990,21730
1991,23450
1992,25260
1993,25980
1994,28130
1995,29200
1996,28890
1997,30330
1998,31050
1999,32600
2000,33290
2001,36920
2002,38270
2003,38210
2004,42170
2005,44490
2006,46190
2007,47730
2008,50180
2009,50540
2010,53660
2011,57790
2012,60150
2013,59720
2014,61160
2015,63150
2016,63080
2017,65930
2018,66680
2019,
2020,

