cl1,cl2
1961,8.6
1961,12.4
1961,14.5
1961,16.8
1961,20.6
1961,22.5
1961,27.5
1961,26.9
1961,23.3
1961,17.9
1961,13.7
1961,11.8
1962,10.3
1962,9.9
1962,12.6
1962,15.6
1962,19.8
1962,22.4
1962,26.3
1962,27.5
1962,23.7
1962,19
1962,12
1962,9.9
1963,10.4
1963,10.3
1963,13.1
1963,15.3
1963,17.6
1963,21.7
1963,26.1
1963,25.3
1963,21
1963,18.8
1963,14.7
1963,10.7
1964,9.6
1964,11.4
1964,13.5
1964,14.2
1964,21.3
1964,22.8
1964,26.3
1964,25.8
1964,24.4
1964,18.1
1964,13.4
1964,8.8
1965,9
1965,10
1965,13.9
1965,15.1
1965,20.5
1965,23.8
1965,24.9
1965,25.6
1965,20.5
1965,17.5
1965,13.3
1965,10.4
1966,11.2
1966,13
1966,12.7
1966,16
1966,19.7
1966,22.9
1966,24.9
1966,26.2
1966,23.1
1966,16.8
1966,11.2
1966,9.4
1967,9.3
1967,10.6
1967,14
1967,14.1
1967,18.5
1967,22.1
1967,26.9
1967,26.4
1967,21.8
1967,18.1
1967,13.1
1967,8.4
1968,8.9
1968,10.6
1968,11.7
1968,14.8
1968,18.6
1968,22.6
1968,26.5
1968,25.1
1968,22.5
1968,19.6
1968,14.6
1968,10.2
1969,11.1
1969,11.8
1969,13.6
1969,14.1
1969,18.5
1969,21.7
1969,26.8
1969,25.6
1969,20.5
1969,17.4
1969,14.3
1969,8.8
1970,11.1
1970,11.2
1970,12.1
1970,15.5
1970,19
1970,21.9
1970,26.9
1970,25.8
1970,23.3
1970,17.5
1970,14.6
1970,9
1971,9.8
1971,10.8
1971,11.3
1971,13.6
1971,15.9
1971,21.2
1971,25.3
1971,25.3
1971,22.1
1971,19.8
1971,11.9
1971,9.4
1972,8.8
1972,10.9
1972,12.1
1972,14.9
1972,17.3
1972,20.9
1972,25.1
1972,24.5
1972,20.9
1972,17.9
1972,13.7
1972,9.4
1973,8.9
1973,9.9
1973,12.4
1973,15.3
1973,19.7
1973,22.1
1973,25.5
1973,26.5
1973,22.7
1973,17.7
1973,14.3
1973,9.1
1974,10.2
1974,10.7
1974,12.3
1974,13.7
1974,19.2
1974,21.9
1974,26.8
1974,26.4
1974,22.2
1974,16.1
1974,13.4
1974,10.2
1975,10
1975,11.5
1975,12.1
1975,14.4
1975,16.9
1975,21.4
1975,27.4
1975,26.7
1975,21.5
1975,18.3
1975,12.8
1975,9.6
1976,8.8
1976,10.7
1976,12.1
1976,13.2
1976,17.4
1976,23
1976,26.4
1976,26.9
1976,22
1976,16.9
1976,12.3
1976,11.3
1977,9.8
1977,11.6
1977,14.5
1977,16.4
1977,18.1
1977,21.2
1977,24
1977,23.8
1977,22.3
1977,18.2
1977,13.1
1977,11.7
1978,9.7
1978,12.5
1978,13.4
1978,15
1978,17.2
1978,20.7
1978,26.7
1978,25.5
1978,23.9
1978,17.8
1978,13.9
1978,11.9
1979,11.3
1979,11.7
1979,12.2
1979,15
1979,18.8
1979,22.5
1979,26.1
1979,26
1979,22.5
1979,17.1
1979,13.6
1979,10.2
1980,9.4
1980,11.6
1980,13.1
1980,15.5
1980,18.4
1980,22.6
1980,26.2
1980,26.8
1980,24
1980,18.3
1980,13.8
1980,9
1981,8.5
1981,10.4
1981,14.8
1981,14.7
1981,18.6
1981,23.4
1981,25.8
1981,25.2
1981,22.9
1981,19.1
1981,15.8
1981,11.9
1982,10.3
1982,11.5
1982,13.7
1982,15.4
1982,19
1982,23.7
1982,25.9
1982,25.6
1982,23.1
1982,17.8
1982,12.8
1982,8.9
1983,9.4
1983,10
1983,15.3
1983,15.5
1983,18.1
1983,23.9
1983,25.2
1983,24.9
1983,23.9
1983,20.4
1983,15.8
1983,10.9
1984,9.3
1984,10.5
1984,12.1
1984,17
1984,16.2
1984,22.2
1984,27.5
1984,25.7
1984,23
1984,17.8
1984,13.8
1984,10.8
1985,8.5
1985,12.7
1985,12.4
1985,16.1
1985,17.6
1985,23.1
1985,26.7
1985,26.7
1985,23.6
1985,19.5
1985,14.8
1985,10.6
1986,9.4
1986,10.9
1986,12.4
1986,13.5
1986,20.5
1986,22.1
1986,26.4
1986,26.1
1986,23.3
1986,18.1
1986,13.3
1986,9.6
1987,9.7
1987,11.4
1987,14.3
1987,17.5
1987,19.5
1987,23.3
1987,25.6
1987,25.7
1987,24.7
1987,17.9
1987,14.1
1987,11.9
1988,10
1988,10.9
1988,13.4
1988,15.8
1988,18.3
1988,21.5
1988,26.8
1988,27.4
1988,23.5
1988,18.7
1988,14.6
1988,9.4
1989,9.3
1989,11.2
1989,14.1
1989,14.1
1989,19.3
1989,23.1
1989,27.4
1989,27.2
1989,23
1989,19.7
1989,14.6
1989,12.6
1990,9.4
1990,12.9
1990,14.6
1990,14.8
1990,19.5
1990,22.9
1990,27.1
1990,27.3
1990,24.3
1990,18.3
1990,14
1990,9.9
